Round Number,Date,Location,Home Team,Away Team,Group
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D
1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D
1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G
1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H