Rank,Team,Matches Played,Wins,Draws,Losses,Goals for,Goals against,Points,Ave. points,Appearances,Trophies,Runner-Ups
1,Brazil,104,70,17,17,221,102,227,2.18,20,5,2
2,Germany,106,66,20,20,224,121,218,2.05,18,4,4
3,Italy,83,45,21,17,128,77,156,1.88,18,4,2
4,Argentina,77,42,14,21,131,84,140,1.84,16,2,3
5,Spain,59,29,12,18,92,66,99,1.68,14,1,0
6,England,62,26,20,16,79,56,98,1.58,14,1,0
7,France,59,28,12,19,106,71,96,1.63,14,1,1
8,Netherlands,50,27,12,11,86,48,93,1.86,10,0,3
9,Uruguay,51,20,12,19,80,71,72,1.41,12,2,0
10,Sweden,46,16,13,17,74,69,61,1.33,11,0,1
11,Russia,40,17,8,15,66,47,59,1.48,10,0,0
12,Serbia,43,17,8,18,64,59,59,1.37,11,0,0
13,Mexico,53,14,14,25,57,92,56,1.06,15,0,0
14,Belgium,41,14,9,18,52,66,51,1.24,12,0,0
15,Poland,31,15,5,11,44,40,50,1.61,7,0,0
16,Hungary,32,15,3,14,87,57,48,1.5,9,0,2
17,Portugal,26,13,4,9,43,29,43,1.65,6,0,0
18,Czech Republic,33,12,5,16,47,49,41,1.24,9,0,2
19,Austria,29,12,4,13,43,47,40,1.38,7,0,0
20,Chile,33,11,7,15,40,49,40,1.21,9,0,0
21,Switzerland,33,11,6,16,45,59,39,1.18,10,0,0
22,Paraguay,27,7,10,10,30,38,31,1.15,8,0,0
23,USA,33,8,6,19,37,62,30,0.91,10,0,0
24,Romania,21,8,5,8,30,32,29,1.38,7,0,0
25,Denmark,16,8,2,6,27,24,26,1.63,4,0,0
26,Korea Republic,31,5,9,17,31,67,24,0.77,9,0,0
27,Croatia,16,7,2,7,21,17,23,1.44,4,0,0
28,Colombia,18,7,2,9,26,27,23,1.28,5,0,0
29,Costa Rica,15,5,4,6,17,23,19,1.27,4,0,0
30,Scotland,23,4,7,12,25,41,19,0.83,8,0,0
28,Cameroon,23,4,7,12,18,43,19,0.83,7,0,0
32,Nigeria,18,5,3,10,20,26,18,1,5,0,0
33,Bulgaria,26,3,8,15,22,53,17,0.65,7,0,0
34,Turkey,10,5,1,4,20,17,16,1.6,2,0,0
35,Japan,17,4,4,9,14,22,16,0.94,5,0,0
36,Ghana,12,4,3,5,13,16,15,1.25,3,0,0
37,Peru,15,4,3,8,19,31,15,1,4,0,0
38,Republic of Ireland,13,2,8,3,10,10,14,1.08,3,0,0
39,Northern Ireland,13,3,5,5,13,23,14,1.08,3,0,0
40,Ecuador,10,4,1,5,10,11,13,1.3,3,0,0
41,Algeria,13,3,3,7,13,19,12,0.92,4,0,0
42,Ivory Coast,9,3,1,5,13,14,10,1.11,3,0,0
43,South Africa,9,2,4,3,11,16,10,1.11,3,0,0
44,Morocco,13,2,4,7,12,18,10,0.77,4,0,0
45,Norway,8,2,3,3,7,8,9,1.12,3,0,0
46,Australia,13,2,3,8,11,26,9,0.69,4,0,0
47,Senegal,5,2,2,1,7,6,8,1.6,1,0,0
49,Greece,10,2,2,6,5,20,8,0.8,3,0,0
50,Saudi Arabia,13,2,2,9,9,32,8,0.62,4,0,0
51,Ukraine,5,2,1,2,5,7,7,1.4,1,0,0
52,Tunisia,12,1,4,7,8,17,7,0.58,4,0,0
53,Wales,5,1,3,1,4,4,6,1.2,1,0,0
54,Iran,12,1,3,8,7,22,6,0.5,4,0,0
55,Cuba,3,1,1,1,5,12,4,1.33,1,0,0
56,Slovakia,4,1,1,2,5,7,4,1,1,0,0
57,Slovenia,6,1,1,4,5,10,4,0.67,2,0,0
58,Korea DPR,7,1,1,5,6,21,4,0.57,2,0,0
59,Bosnia-Herzegovina,3,1,0,2,4,4,3,1,1,0,0
60,Jamaica,3,1,0,2,3,9,3,1,1,0,0
61,New Zealand,6,0,3,3,4,14,3,0.5,2,0,0
62,Honduras,9,0,3,6,3,14,3,0.33,3,0,0
63,Angola,3,0,2,1,1,2,2,0.67,1,0,0
64,Israel,3,0,2,1,1,3,2,0.67,1,0,0
65,Egypt,4,0,2,2,3,6,2,0.5,2,0,0
66,Kuwait,3,0,1,2,2,6,1,0.33,1,0,0
67,Trinidad and Tobago,3,0,1,2,0,4,1,0.33,1,0,0
68,Bolivia,6,0,1,5,1,20,1,0.17,3,0,0
69,Iraq,3,0,0,3,1,4,0,0,1,0,0
70,Togo,3,0,0,3,1,6,0,0,1,0,0
71,Canada,3,0,0,3,0,5,0,0,1,0,0
72,Indonesia,1,0,0,1,0,6,0,0,1,0,0
73,United Arab Emirates,3,0,0,3,2,11,0,0,1,0,0
74,China,3,0,0,3,0,9,0,0,1,0,0
75,Haiti,3,0,0,3,2,14,0,0,1,0,0
76,Congo DR,3,0,0,3,0,14,0,0,1,0,0
77,El Salvador,6,0,0,6,1,22,0,0,2,0,0